ID,Comuna,Descripción,Dirección,Fecha evento (año),Hora evento (hh:mm:ss),Altura de Agua (cm),Latitud (decimal),Longitud (decimal),Fecha lev. (dd/MM/YYYY)
1,Los Ángeles,Abarrotes,Colo Colo 768,2006,tarde,16,-37.469083,-72.356668,16/11/2023
2,Los Ángeles,Importadora Premium,Colo Colo 538,2006,mañana,58,-37.469148,-72.353037,16/11/2023
3,Los Ángeles,Ciber y Recargas,Colo Colo 512,2006,dia,64,-37.469142,-72.352504,16/11/2023
4,Los Ángeles,Óptica BioBio,Colo Colo 460,2006,dia,63,-37.469176,-72.351503,16/11/2023
5,Los Ángeles,Galería Centro España,Colon 482,2006,dia,100,-37.467932,-72.350729,16/11/2023
6,Los Ángeles,Salcobrand,Colon 412,2006,dia,100,-37.46921,-72.350934,16/11/2023
7,Los Ángeles,Lomito sureño,Valdivia 501,2006,dia,60,-37.4674353,-72.352056,20/11/23
8,Los Ángeles,Servicio tecnico impresoras y respuestos de tintas,Av. Tucapel 336,2006,madrugada ,30,-37.466365,-72.352047,20/11/23
9,Los Ángeles,Servicio tecnico impresoras y respuestos de tintas,Av. Tucapel 337,2018,,0,-37.466365,-72.352047,21/11/23
10,Los Ángeles,Optica,Colon 518,2006,mañana,40,-37.4672403,-72.355957,20/11/23
11,Los Ángeles,Servicio tecnico Ruiz EIRL,Valdivia 500 ,2006,medio dia,56,-37.4675447,-72.353615,20/11/23
12,Los Ángeles,Tottus (ex sodimac),Mendoza 501,2006,medio dia,42,-37.4674889,-72.353615,20/11/23
13,Los Ángeles,Tottus (ex sodimac), Av. Tucapel 400,2006,medio dia,22,-37.4663875,-72.35355,20/11/23
14,Los Ángeles,Carnicería (Centro de Carnes),Villagran 501,2023,madrugada ,50,-37.467443,-72.348098,20/11/23
15,Los Ángeles,Carnicería (Centro de Carnes),Villagran 501,2006,día,114,-37.467443,-72.348098,20/11/23
16,Los Ángeles,Bar Al Paso Restaurant,Villagran 524,2023,,38,-37.46729,-72.348224,20/11/23
17,Los Ángeles,Bar Al Paso Restaurant,Villagran 524,2016,,99,-37.46729,-72.348224,20/11/23
18,Los Ángeles,Nuevo Centro de Carnes,Vilagran 598,2006,noche,85,-37.466412,-72.34836,20/11/23
19,Los Ángeles,Nuevo Centro de Carnes,Vilagran 598,2023,,0,-37.466412,-72.34836,20/11/23
20,Los Ángeles,La Brocha Gorda,Villagran 597,2006,15:00:00,49,-37.46621,-72.34807,20/11/23
21,Los Ángeles,La Brocha Gorda,Villagran 597,2023,,0,-37.46621,-72.34807,20/11/23
22,Los Ángeles,La Brocha Gorda,Villagran 597,2018,,0,-37.46621,-72.34807,20/11/23
23,Los Ángeles,La Brocha Gorda,Villagran 597,2016,,0,-37.46621,-72.34807,20/11/23
24,Los Ángeles,Supermercado Tamarugal,Villagran 651,2006,,0,-37.465512,-72.347945,20/11/23
25,Los Ángeles,Supermercado Tamarugal,Villagran 651,2023,,0,-37.465512,-72.347945,20/11/23
26,Los Ángeles,El Mayorista 1,Tucapel 194,2006,,80,-37.466388,-72.349235,20/11/23
